"participant","item","register","attractor","verb","yes"
1,237,"formal","pl","pl",0
1,301,"formal","pl","pl",0
1,365,"formal","pl","pl",0
1,429,"formal","pl","pl",0
1,493,"formal","pl","pl",1
1,182,"formal","pl","sg",1
1,246,"formal","pl","sg",1
1,310,"formal","pl","sg",1
1,374,"formal","pl","sg",1
1,438,"formal","pl","sg",0
1,191,"formal","sg","pl",0
1,255,"formal","sg","pl",1
1,319,"formal","sg","pl",0
1,383,"formal","sg","pl",0
1,447,"formal","sg","pl",1
1,200,"formal","sg","sg",1
1,264,"formal","sg","sg",0
1,328,"formal","sg","sg",0
1,392,"formal","sg","sg",1
1,456,"formal","sg","sg",1
1,209,"informal","pl","pl",0
1,273,"informal","pl","pl",0
1,337,"informal","pl","pl",0
1,401,"informal","pl","pl",0
1,465,"informal","pl","pl",0
1,218,"informal","pl","sg",0
1,282,"informal","pl","sg",0
1,346,"informal","pl","sg",0
1,410,"informal","pl","sg",0
1,474,"informal","pl","sg",0
1,227,"informal","sg","pl",0
1,291,"informal","sg","pl",0
1,355,"informal","sg","pl",0
1,419,"informal","sg","pl",1
1,483,"informal","sg","pl",0
1,236,"informal","sg","sg",0
1,300,"informal","sg","sg",1
1,364,"informal","sg","sg",1
1,428,"informal","sg","sg",0
1,492,"informal","sg","sg",0
2,237,"formal","pl","pl",1
2,301,"formal","pl","pl",1
2,365,"formal","pl","pl",1
2,429,"formal","pl","pl",1
2,493,"formal","pl","pl",0
2,182,"formal","pl","sg",1
2,246,"formal","pl","sg",1
2,310,"formal","pl","sg",1
2,374,"formal","pl","sg",1
2,438,"formal","pl","sg",1
2,191,"formal","sg","pl",0
2,255,"formal","sg","pl",1
2,319,"formal","sg","pl",0
2,383,"formal","sg","pl",0
2,447,"formal","sg","pl",1
2,200,"formal","sg","sg",1
2,264,"formal","sg","sg",1
2,328,"formal","sg","sg",1
2,392,"formal","sg","sg",1
2,456,"formal","sg","sg",1
2,209,"informal","pl","pl",0
2,273,"informal","pl","pl",0
2,337,"informal","pl","pl",0
2,401,"informal","pl","pl",1
2,465,"informal","pl","pl",0
2,218,"informal","pl","sg",1
2,282,"informal","pl","sg",1
2,346,"informal","pl","sg",1
2,410,"informal","pl","sg",1
2,474,"informal","pl","sg",0
2,227,"informal","sg","pl",0
2,291,"informal","sg","pl",0
2,355,"informal","sg","pl",0
2,419,"informal","sg","pl",0
2,483,"informal","sg","pl",0
2,236,"informal","sg","sg",1
2,300,"informal","sg","sg",1
2,364,"informal","sg","sg",1
2,428,"informal","sg","sg",1
2,492,"informal","sg","sg",1
3,237,"formal","pl","pl",1
